tablename,CreateTime,LastAccessTime,Owner,numRows,rawDataSize,V1,year,month,day,date,yearmon,rawDataSize_gb,rawDataSize_gb_month,rawDataSize_gb_month_user
default,Tue Mar 21 10:06:20 CET 2017,UNKNOWN,c39188,22530,2650765,, 2017,Mar , 10,2017-03-10,2017.16666666667,0.002650765,16032.951134725,675.714324707
default,Mon Mar 06 14:44:17 CET 2017,UNKNOWN,c39188,6191,28305252,, 2017,Mar , 14,2017-03-14,2017.16666666667,0.028305252,16032.951134725,675.714324707
default,Mon Mar 06 16:51:36 CET 2017,UNKNOWN,c39188,169456,18016020,, 2017,Mar , 16,2017-03-16,2017.16666666667,0.01801602,16032.951134725,675.714324707
default,Thu Mar 02 10:25:36 CET 2017,UNKNOWN,c34489,,0,, 2017,Mar , 10,2017-03-10,2017.16666666667,0,16032.951134725,0
default,Thu Mar 02 10:35:11 CET 2017,UNKNOWN,c34489,,0,, 2017,Mar , 10,2017-03-10,2017.16666666667,0,16032.951134725,0
default,Mon Feb 20 17:09:54 CET 2017,UNKNOWN,yu0073,879,27184,, 2017,Feb , 17,2017-02-17,2017.08333333333,2.7184e-05,1958.448207358,709.691306283
default,Thu Mar 02 01:12:02 CET 2017,UNKNOWN,yu0073,3137,28226,, 2017,Mar , 01,2017-03-01,2017.16666666667,2.8226e-05,16032.951134725,5477.063529636
default,Thu Mar 02 00:35:11 CET 2017,UNKNOWN,yu0073,3152,59874,, 2017,Mar , 00,,,5.9874e-05,9.542475972,0.581038242
default,Thu Mar 02 00:33:25 CET 2017,UNKNOWN,yu0073,3152,59874,, 2017,Mar , 00,,,5.9874e-05,9.542475972,0.581038242
default,Tue Mar 21 09:31:18 CET 2017,UNKNOWN,c43180,,0,, 2017,Mar , 09,2017-03-09,2017.16666666667,0,16032.951134725,0
default,Tue Feb 21 09:11:50 CET 2017,UNKNOWN,yu0073,873,7850,, 2017,Feb , 09,2017-02-09,2017.08333333333,7.85e-06,1958.448207358,709.691306283
